destination,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C“te d'Ivoire,Croatia,Cuba,Cura‡ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R‚union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  6 519,,,,,,,,,,,,,,,,,,,,,,  2 248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 342,,,,,,,,,,,,,,,,,,,  7 540,,,,,,,  74 523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 235,,,,,,,,  4 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,  8 559,,,,,,,,,,,,,,,,,,,,,,,,,,,,  7 359,,,,,,,,,,,  5 717,  24 457
R‚union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 252,,,,,,,,,,,,,,,,,,,,,,,,,,,  85 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  17 049,,,,,,,,,  5 147,  6 621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,17,,,,,,,,483,,,,,,,,,,,,,  62 689,,,127,,,,,,,,103,,,,,,,,,,,,,,,  171 608,,,,,,,,,,,,,,,,228,,,,,,185,,,,,,,,,,,,,,,,,347,,,,,,,,,,,,  1 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  103 998,,,156,  44 307,139,,,,,,,,,,,
Seychelles,,,0,4,,1,,,6,,,47,16,1,,0,198,,,35,,,,,,,,1,3,,3,,,0,0,16,,,,0,,,,458,,0,,0,3,,,12,1,39,,,1,,0,3,,,0,,9,,,,,3,,,,1,215,1,,1,,,76,19,,1,,,,,,3,0,0,1,,,3,6,  5 804,127,1,,13,,3,109,0,1,,,368,,0,,,,3,0,,4,,1,1,720,13,18,35,0,,,,0,496,0,0,,,1,,,10,1,,3,,147,4,,1,,,123,7,,1,1,22,,,3,,,632,0,4,,,1,,4,4,86,1,,12,,,,,,,0,6,1,,1,1,,1,,,58,229,0,23,537,,,,3,6,12,1,,215,,,,,,1,,,,,,26,13,1,260,19,10,,,0,1,1,3,0,,0,6,13
Somalia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,37,,  1 882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 166,  5 327,,,,,,,,,,,,,,,,,,  67 795,,,,,,  5 287,,,  3 410,,  8 605,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 454,,,,,,,,,,,,  9 821,,,,,,,,,177,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,  3 635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,  143 825,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,149,,,46,,,,,,,,,,,,,  17 796,,,277,,,,,,,,461,,,,,,,,66,,19,,,,155,  169 325,185,,,,,,,,  3 490,,989,,,,,264,,,,,,246,,,44,,,,,,,,,,,,,,  4 338,,,,,,,429,,212,,,  44 433,,,,,,,,,1,,,,,9,,,,,,,,,,,,,,,,,17,,,,,227,,,,,4,,,,,738,,,,,,,,,,,197,,,,323,  70 944,,,,,,,,,,1,,,,,,,,,  11 169,,  152 513,63,,,  21 376,,,31,,,,,,,4,,,,,,,,,,,,  1 277,  25 156,  1 064,,,,,,,,,,8,3
United Republic of Tanzania,,,,,,  1 186,,,,,,,,,,,,,,,,,,,,,136,,,,,,  112 009,,,282,,,,,,,,,,,,567,  24 354,,,,,,,,,,  60 386,,,,,,,,,,,,,,,,,,,,,,924,,,,,,,,,,,,,,,,,  7 629,,,,,,,550,,,,,  27 864,,,,,,,140,,,,,,,  7 011,,,,,,,,187,,,,,,,,,  28 177,,613,,,,,,,,,,,,,635,,,,,,,,,,,,,,,,  5 246,,,,,,,,,,,,355,,,,,,,  2 273,678,,,,,,,86,,,,,,,,,,,,,,,,,  6 938,,,  1 040,,  1 234,,,,,,,,,,  10 265,809
Zambia,,,,,,  48 795,,,,,,53,,,,,,,,,,,,,,,82,,,,,,  2 139,,11,100,,,,,,,,106,,,,,  1 155,,,,,,,,,,  23 839,,,,,,53,,,,,,,,,,34,,,,,,100,106,,,,,,,,,,,,,,,,  2 235,,,,,,,,,83,,,160,,,,,,,,,,,,,,  4 462,,,124,,,,,,,,,,,,,,350,,67,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,  5 642,,,,,,,,,,106,,,,,,,,,,991,,,,,,,,,,,,,,,,,,,,,,,,350,,,666,  1 704,297,,,,,,,,,,,  5 831
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 153,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,  3 064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  101 164,,,,,,,,,,,,,,,,,  164 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,,,,,,,,,,,,,,,,,,,,  11 898,,,,,,,,,,,,,,,,,,,,,,,,,,,  16 001,,,,,,,,,,,,  27 670,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  7 493,,,,26,,,,,,,,862,,,33,,,,,,,  30 944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,725,,,,,,,,,,,,,,,,,,,,,  11 125,,,,,,,,871,,,,,,,,  6 536,,,,,,,,,,,,  5 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  104 077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  12 864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  114 551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,78,,,,,,,,,,,,,,,,260,,,,,,,,,,124,40,,  8 846,79,,,,,  51 465,,,98,,,,,  1 843,,,180,,,,,,58,  26 702,,,,,,57,,184,,,,,,,,  3 870,,,238,,,96,,,,,,,,,70,43,,,,,,,,,,,,,,273,,,,,,,,,,,518,,,,,,,,,,,611,,,,75,,,,,,,,,,,,,,,,,,,534,  1 893,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,102,  2 089,,,,,,,,,,,  1 841,,,,258,,,,78,,,,,,221,,,,,,,,,,,,47,,421,,,,,,,,,72,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  26 338,,,,,  71 004,,,,,,,,,608,,,,,,,,,,441,,,,,,,,,,,,,,,,752,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 221,  12 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  197 009,,,,  102 486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,,,,,,  28 963,,,,,,,,,,,,,,,,  10 671,,,,,,,,,,,,,  7 936,,,,,  22 964,  7 420,,,649,,,,,,,,,,376,,,,,  252 142,,,,,,,,  1 111,,,,,,,,  7 248,,,  2 222,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,  23 821,,,,  2 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 012,,,,,,,  1 809,  17 642,,,,,,,,,,  9 317,,,,,,,,,,,,,,,,,,,,,,,,,  1 712,,,,,,,,,,,,,,117,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,  149 518,,,,,,,,,,,,,,,,,,,,,,,,,,,  24 123,,,,,,,,,,,,,,,,  1 431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  131 148,,,,,,,,,,,,,,,,,,,,,  4 127,,,,578,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 649,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 194,,,,,,,,,,,,,,  1 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,94,,,937,,,,,,,,,,,,,,424,,  44 174,,,,,,,,,,  5 917,143,,  42 864,247,,,,,  3 829,,,294,,,,,  13 810,,,  2 872,,,,,,137,  7 537,,,,,,,,  73 572,,,,,,,,  13 598,,,,,,75,  5 385,,,,,,,,  4 212,,,,,,,,,,,,,,14,,,27,,,,,,,,,  2 116,,,,,,,,,,,  46 678,,,,,,,,,,,,,605,,,,,,,,,,,  20 234,,,,,,,,,,,,,,,,165,,,,,178,,,,,,,,  5 507,,  25 811,,,,,,,,,,11,,,,,,,,,,25,,,,,  19 477,,,,190,,,,,,,,,,466,,,,,,,,,,,
Sao Tome and Principe,,,,,,655,,,,,,,,,,,,,,,,160,,,,,,,,,,15,99,,270,,27,,,292,446,,,,,,,,64,,,,,,,,,,538,,,,,,,,241,,,,,,,,131,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,34,,,,,,,,536,,,,,,,,,,44,,,,,,,,,,,589,,,,485,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,151,151,,,195,251,,153,136,,,,,,,,,,,,,,,,574,,,,,173,,,619,,,,865,,,,120,,,,,,,,155,287,,,,,142,,399,,369,,,,167,  1 011,,,,,,  1 414,124,,527,,,,,,,,,,,,,,974,  2 628,,  13 777,,,,  1 346,,202,  4 106,161,,,  2 173,,,,  2 226,,,  4 226,,,,,,  1 594,,,,,,,,,,,,,,,985,,,,,,356,,,,,574,,,,341,495,,,,,,887,137,,,285,144,,,120,  1 458,,,,,,,,,,  7 137,226,,,,135,,,,,  21 031,131,358,146,,  57 565,  2 903,,,151,188,  5 585,137,574,,,,,,,621,511,,,,,177,559,  1 455,,  1 989,,,,,,,,  91 905,  4 302,,
Egypt,125,117,  1 395,,,37,,23,73,100,,291,292,43,20,376,486,,296,263,7,12,,1,1,128,9,100,,64,53,52,12,7,88,  1 107,,,,64,334,,33,  1 195,7,,37,  1 669,157,,1,232,48,5,,52,79,60,169,300,554,,,16,,275,1,771,43,711,,,1,323,  1 953,7,,7,15,9,  2 732,239,12,  1 017,,,,,12,48,121,,,,1,132,1,  1 884,  5 077,160,  26 605,53,,48,  2 599,,391,  7 929,312,131,,  4 196,83,1,1,  4 301,7,53,  8 161,1,7,7,20,37,  3 078,73,132,1,,,139,5,,43,,107,41,,,  1 904,23,16,12,,7,688,,36,1,139,  1 107,,,131,658,956,,1,1,1,5,  1 714,266,43,,550,279,83,,232,  2 815,12,,1,,,,1,1,7,  13 782,435,1,27,92,260,,36,5,,  40 616,252,690,282,143,  90 152,  5 607,,7,291,362,  10 787,266,  1 107,48,,7,,,,  1 198,985,92,,,68,340,  1 079,  2 810,104,  3 842,,5,147,,44,1,,,  8 308,21,21
Libya,291,273,  3 255,,,,,,,233,,679,682,,,878,  1 134,,690,613,,,,,,299,,233,,,,,,,,  2 584,,,,,780,,,  2 788,,,,  3 895,365,,,541,,,,,,,394,699,  1 292,,,,  19 042,642,,  1 798,,  1 660,,,,754,  4 558,,,,,,  6 373,558,,  2 374,,,,,,,282,,,,,307,,  4 390,  11 843,374,  62 077,,,,  6 066,,912,  18 501,728,305,,  9 791,,,,  10 033,,,,,,,,,  7 182,,307,,,,325,,,,,251,,,,  4 442,,,,,,  1 605,,,,325,  2 584,,,305,  1 536,  2 230,,,,,,  3 999,616,,,  1 283,650,,,541,  6 569,,,,,,,,,,  32 159,  1 016,,,216,608,,,,,  94 768,587,  1 611,659,334,  259 390,  13 080,,,679,846,  25 168,616,  2 584,,,,,,,  2 797,  2 299,216,,,,794,  2 517,  6 557,241,  8 962,,,342,,,,,,  19 382,,
Morocco,,,  17 408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 897,,,,,,,,,,,,,,,,,,,,,,,,431,,396,,,,  2 053,,,987,,,,,,,,676,,,  1 549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 326,,,,,,,,,,400,,  2 911,,,,  1 515,,,,,  1 533,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 119,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,  16 064,  86 202,,,  1 215,,,,,0,,,,,,,,,,  21 849,,0,,,,  14 675,,,  150 187,,  70 677,,,,,,,,,,,,,,,,,,,,0,,,,,,,,  1 396,,,0,,,,,,,,,  2 814,,,,,,,,0,  1 701,,,,,,,,734,,,,,,,,,,,,,,,,,,,,,,,,  16 214,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,86,,  196 993,,,0,,,,,,0,,,,,,,,,0,,,,,  2 079,,,,0,,,,,,,,,,,,
Tunisia,,,  12 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,0,,0,,,,,  3 414,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,  1 430,,,,,,,,,,,,,,  1 079,,,,,,,,,,,,,,,,,,,,,  6 419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,828,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,  2 672,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,  3 184,,,,,,,,,,,,,,,  2 552,297,,,,,,,,,,,,,,,,,,,,,968,,,,,,,,,,,,,,,,,  7 165,,,,539,,,470,,,,,538,,,,,,,  2 452,,,,,,482,  3 459,,,,,,,,  1 416,,,,,,,,,892,,  1 389,,,548,,,,,560,,,337,,527,,,,,,,,400,,,,,,,,,,,,,,,,,,,,200,,,,,,,,  28 048,,,  1 449,,,,524,376,,,,,,,,,,,,,,,,  1 238,,,  6 220,  2 233,961,,,,,,,,,,  9 659,  23 803
